Svid,NoradCatID,ConstellationType
1,62339,1
2,41549,6
2,39155,3
3,41860,6
3,37867,3
3,40294,1
4,43873,1
4,44850,3
4,41861,6
5,41862,6
5,43508,3
6,59600,6
6,39741,1
6,36828,5
7,41859,6
7,37256,5
7,37868,3
8,37869,3
8,41175,6
8,40730,1
8,37384,5
9,40315,3
9,41174,6
9,37763,5
9,40105,1
10,37948,5
10,49810,6
11,46805,3
11,37846,6
11,38250,5
11,48859,1
12,37847,6
12,44299,3
12,38251,5
13,41434,5
13,43567,6
14,46826,1
14,38775,5
15,43687,3
15,43564,6
16,61182,6
16,43539,5
16,54377,3
17,41330,3
18,39620,3
19,38857,6
20,43002,5
21,40001,3
21,43055,6
21,43208,5
22,43207,5
22,52984,3
23,36402,3
23,61183,6
23,43581,5
24,40889,6
24,43582,5
24,38833,1
24,45358,3
25,36585,1
25,43603,5
25,43056,6
26,43602,5
26,40534,1
26,40544,6
27,43107,5
27,43057,6
27,39166,1
28,43108,5
29,59598,6
30,39533,1
30,40890,6
31,43058,6
32,43622,5
32,41328,1
33,43623,5
33,43565,6
34,49809,6
34,43648,5
35,43647,5
36,43566,6
37,43707,5
38,44204,5
40,44709,5
41,44864,5
42,44865,5
43,44794,5
44,44793,5
194,42738,4
195,42965,4
196,49336,4
199,42917,4
14,44337,5
28,55268,1
10,41019,1
14,42939,3
18,44506,1
23,45854,1
30,43246,5
