Svid,ConstellationName,UnixTimeMillis,AzimuthDegrees,ElevationDegrees
42,beidou,1740908345000.0,69.0,34.0
11,navstar,1740908365000.0,290.0,45.0
2,galileo,1740908369000.0,308.0,56.0
17,navstar,1740908376000.0,73.0,42.0
37,beidou,1740908384000.0,291.0,27.0
3,glonass,1740908499000.0,74.0,32.0
34,galileo,1740908562000.0,270.0,33.0
16,glonass,1740908665000.0,224.0,47.0
6,navstar,1740908675000.0,347.0,51.0
23,beidou,1740908768000.0,226.0,39.0
20,navstar,1740908816000.0,217.0,48.0
9,navstar,1740908833000.0,93.0,18.0
12,navstar,1740908840000.0,319.0,19.0
28,beidou,1740908844000.0,316.0,34.0
9,glonass,1740908846000.0,300.0,34.0
30,galileo,1740908847000.0,322.0,9.0
13,beidou,1740908867000.0,207.0,64.0
41,beidou,1740908908000.0,187.0,17.0
22,navstar,1740908922000.0,168.0,52.0
25,galileo,1740908954000.0,172.0,59.0
194,qzs,1740908960000.0,136.0,47.0
4,glonass,1740909009000.0,130.0,35.0
9,beidou,1740909027000.0,204.0,16.0
14,beidou,1740909065000.0,95.0,48.0
36,galileo,1740909071000.0,347.0,53.0
10,beidou,1740909073000.0,3.0,71.0
19,glonass,1740909073000.0,345.0,34.0
8,beidou,1740909074000.0,201.0,75.0
38,beidou,1740909075000.0,79.0,87.0
33,beidou,1740909080000.0,138.0,49.0
43,beidou,1740909080000.0,42.0,42.0
199,qzs,1740909081000.0,133.0,56.0
6,galileo,1740909091000.0,89.0,13.0
25,beidou,1740909161000.0,175.0,12.0
40,beidou,1740909164000.0,64.0,59.0
34,beidou,1740909170000.0,82.0,10.0
19,navstar,1740909192000.0,41.0,54.0
195,qzs,1740909205000.0,50.0,49.0
5,navstar,1740909208000.0,212.0,14.0
6,beidou,1740909233000.0,189.0,11.0
5,glonass,1740909245000.0,173.0,10.0
16,galileo,1740909743999.0,160.0,30.0
14,navstar,1740909748999.0,161.0,23.0
5,galileo,1740909750999.0,160.0,14.0
18,glonass,1740910671999.0,47.0,22.0
9,galileo,1740911171999.0,99.0,23.0
27,beidou,1740911359999.0,300.0,10.0
7,beidou,1740911816000.0,82.0,78.0
11,beidou,1740911976000.0,82.0,19.0
13,navstar,1740913609999.0,179.0,11.0
11,galileo,1740913636999.0,63.0,9.0
196,qzs,1740914276999.0,95.0,54.0
3,galileo,1740914391999.0,187.0,10.0
10,glonass,1740914424999.0,289.0,19.0
15,galileo,1740914441999.0,276.0,6.0
25,navstar,1740914626999.0,306.0,17.0
